Distance[um],dz[um],Mag_Ex
1.33333,1.5,2.05244e+06
1.35354,1.5,2.00047e+06
1.37374,1.5,1.95029e+06
1.39394,1.5,1.90203e+06
1.41414,1.5,1.85585e+06
1.43434,1.5,1.81189e+06
1.45455,1.5,1.77033e+06
1.47475,1.5,1.73132e+06
1.49495,1.5,1.69505e+06
1.51515,1.5,1.66167e+06
1.53535,1.5,1.63138e+06
1.55556,1.5,1.60437e+06
1.57576,1.5,1.72478e+06
1.59596,1.5,1.00131e+06
1.61616,1.5,943944
1.63636,1.5,899547
1.65657,1.5,867941
1.67677,1.5,848876
1.69697,1.5,842029
1.71717,1.5,847003
1.73737,1.5,863328
1.75758,1.5,890462
1.77778,1.5,927788
1.79798,1.5,974616
1.81818,1.5,1.03018e+06
1.83838,1.5,1.09365e+06
1.85859,1.5,1.16412e+06
1.87879,1.5,1.24059e+06
1.89899,1.5,1.32202e+06
1.91919,1.5,1.40727e+06
1.93939,1.5,1.49514e+06
1.9596,1.5,1.58437e+06
1.9798,1.5,1.67358e+06
2,1.5,1.76137e+06
0,1.52,412549
0.020202,1.52,541515
0.040404,1.52,517077
0.0606061,1.52,500229
0.0808081,1.52,490917
0.10101,1.52,489020
0.121212,1.52,494344
0.141414,1.52,506628
0.161616,1.52,525535
0.181818,1.52,550664
0.20202,1.52,581538
0.222222,1.52,617612
0.242424,1.52,658270
0.262626,1.52,702826
0.282828,1.52,750523
0.30303,1.52,800533
0.323232,1.52,851959
0.343434,1.52,903832
0.363636,1.52,955113
0.383838,1.52,803257
0.40404,1.52,792679
0.424242,1.52,1.84106e+06
0.444444,1.52,1.84464e+06
0.464646,1.52,1.85773e+06
0.484848,1.52,1.87993e+06
0.505051,1.52,1.91085e+06
0.525253,1.52,1.95005e+06
0.545455,1.52,1.88437e+06
0.565657,1.52,1.92387e+06
0.585859,1.52,1.96697e+06
0.606061,1.52,2.01344e+06
0.626263,1.52,2.06305e+06
0.646465,1.52,2.11554e+06
0.666667,1.52,2.17064e+06
0.686869,1.52,2.22807e+06
0.707071,1.52,2.65896e+06
0.727273,1.52,2.70769e+06
0.747475,1.52,2.75829e+06
0.767677,1.52,2.81065e+06
0.787879,1.52,2.86469e+06
0.808081,1.52,2.92033e+06
0.828283,1.52,2.97748e+06
0.848485,1.52,3.03606e+06
0.868687,1.52,3.09599e+06
0.888889,1.52,3.15718e+06
0.909091,1.52,3.285e+06
0.929293,1.52,3.30678e+06
0.949495,1.52,3.3294e+06
0.969697,1.52,3.35285e+06
0.989899,1.52,2.75412e+06
1.0101,1.52,2.75252e+06
1.0303,1.52,2.75134e+06
1.05051,1.52,2.75058e+06
1.07071,1.52,2.75023e+06
1.09091,1.52,2.75029e+06
1.11111,1.52,2.90676e+06
1.13131,1.52,2.86712e+06
1.15152,1.52,2.82782e+06
1.17172,1.52,2.78887e+06
1.19192,1.52,2.75029e+06
1.21212,1.52,2.77893e+06
1.23232,1.52,2.74703e+06
1.25253,1.52,2.71769e+06
1.27273,1.52,2.17488e+06
1.29293,1.52,2.12094e+06
1.31313,1.52,2.06831e+06
1.33333,1.52,2.01711e+06
1.35354,1.52,1.96746e+06
1.37374,1.52,1.91948e+06
1.39394,1.52,1.87331e+06
1.41414,1.52,1.82909e+06
1.43434,1.52,1.78694e+06
1.45455,1.52,1.74703e+06
1.47475,1.52,1.70951e+06
1.49495,1.52,1.67454e+06
1.51515,1.52,1.64228e+06
1.53535,1.52,1.72198e+06
1.55556,1.52,1.71741e+06
1.57576,1.52,933080
1.59596,1.52,943962
1.61616,1.52,946613
1.63636,1.52,884236
1.65657,1.52,837028
1.67677,1.52,804581
1.69697,1.52,786412
1.71717,1.52,781968
1.73737,1.52,790619
1.75758,1.52,811665
1.77778,1.52,844330
1.79798,1.52,887767
1.81818,1.52,941053
1.83838,1.52,1.0032e+06
1.85859,1.52,1.07312e+06
1.87879,1.52,1.1497e+06
1.89899,1.52,1.23171e+06
1.91919,1.52,1.31786e+06
1.93939,1.52,1.40679e+06
1.9596,1.52,1.49707e+06
1.9798,1.52,1.5872e+06
2,1.52,1.17405e+06
0,1.54,361139
0.020202,1.54,406426
0.040404,1.54,446633
0.0606061,1.54,434848
0.0808081,1.54,431707
0.10101,1.54,436907
0.121212,1.54,450078
0.141414,1.54,470778
0.161616,1.54,498496
0.181818,1.54,532647
0.20202,1.54,572579
0.222222,1.54,617568
0.242424,1.54,666820
0.262626,1.54,719469
0.282828,1.54,774581
0.30303,1.54,831150
0.323232,1.54,888099
0.343434,1.54,944281
0.363636,1.54,816015
0.383838,1.54,806034
0.40404,1.54,796316
0.424242,1.54,786870
0.444444,1.54,1.8017e+06
0.464646,1.54,1.81774e+06
0.484848,1.54,1.84256e+06
0.505051,1.54,1.87573e+06
0.525253,1.54,1.91684e+06
0.545455,1.54,1.96543e+06
0.565657,1.54,2.02103e+06
0.585859,1.54,2.08313e+06
0.606061,1.54,2.03707e+06
0.626263,1.54,2.08851e+06
0.646465,1.54,2.14256e+06
0.666667,1.54,2.19893e+06
0.686869,1.54,2.25736e+06
0.707071,1.54,2.64179e+06
0.727273,1.54,2.68846e+06
0.747475,1.54,2.73685e+06
0.767677,1.54,2.78688e+06
0.787879,1.54,2.83846e+06
0.808081,1.54,2.89151e+06
0.828283,1.54,2.94596e+06
0.848485,1.54,3.00172e+06
0.868687,1.54,3.05872e+06
0.888889,1.54,3.11688e+06
0.909091,1.54,3.17612e+06
0.929293,1.54,3.30289e+06
0.949495,1.54,3.32624e+06
0.969697,1.54,3.3504e+06
0.989899,1.54,2.7347e+06
1.0101,1.54,2.73407e+06
1.0303,1.54,2.73392e+06
1.05051,1.54,2.73426e+06
1.07071,1.54,2.90626e+06
1.09091,1.54,2.86684e+06
1.11111,1.54,2.82772e+06
1.13131,1.54,2.7889e+06
1.15152,1.54,2.7504e+06
1.17172,1.54,2.71223e+06
1.19192,1.54,2.71934e+06
1.21212,1.54,2.68748e+06
1.23232,1.54,2.6582e+06
1.25253,1.54,2.63156e+06
1.27273,1.54,2.12737e+06
1.29293,1.54,2.07592e+06
1.31313,1.54,2.02573e+06
1.33333,1.54,1.97691e+06
1.35354,1.54,1.92957e+06
1.37374,1.54,1.88381e+06
1.39394,1.54,1.83977e+06
1.41414,1.54,1.79756e+06
1.43434,1.54,1.75731e+06
1.45455,1.54,1.71917e+06
1.47475,1.54,1.68327e+06
1.49495,1.54,1.64976e+06
1.51515,1.54,1.71453e+06
1.53535,1.54,1.70719e+06
1.55556,1.54,1.70463e+06
1.57576,1.54,920396
1.59596,1.54,928716
1.61616,1.54,973361
1.63636,1.54,888553
1.65657,1.54,821843
1.67677,1.54,772666
1.69697,1.54,740380
1.71717,1.54,724272
1.73737,1.54,723557
1.75758,1.54,737373
1.77778,1.54,764788
1.79798,1.54,804795
1.81818,1.54,856315
1.83838,1.54,918195
1.85859,1.54,989207
1.87879,1.54,1.06805e+06
1.89899,1.54,1.15336e+06
1.91919,1.54,1.24368e+06
1.93939,1.54,1.3375e+06
1.9596,1.54,1.43321e+06
1.9798,1.54,999656
2,1.54,1.0692e+06
0,1.56,329392
0.020202,1.56,373019
0.040404,1.56,421925
0.0606061,1.56,379202
0.0808081,1.56,383304
0.10101,1.56,396473
0.121212,1.56,418161
0.141414,1.56,447746
0.161616,1.56,484539
0.181818,1.56,527777
0.20202,1.56,576629
0.222222,1.56,630194
0.242424,1.56,687498
0.262626,1.56,747498
0.282828,1.56,809080
0.30303,1.56,871060
0.323232,1.56,932184
0.343434,1.56,991125
0.363636,1.56,818620
0.383838,1.56,809434
0.40404,1.56,800515
0.424242,1.56,791873
0.444444,1.56,783517
0.464646,1.56,1.77716e+06
0.484848,1.56,1.80442e+06
0.505051,1.56,1.8397e+06
0.525253,1.56,1.88258e+06
0.545455,1.56,1.93261e+06
0.565657,1.56,1.98931e+06
0.585859,1.56,2.05217e+06
0.606061,1.56,2.12068e+06
0.626263,1.56,2.19428e+06
0.646465,1.56,2.2724e+06
0.666667,1.56,2.22997e+06
0.686869,1.56,2.28943e+06
0.707071,1.56,2.61992e+06
0.727273,1.56,2.66454e+06
0.747475,1.56,2.71076e+06
0.767677,1.56,2.75852e+06
0.787879,1.56,2.80773e+06
0.808081,1.56,2.85832e+06
0.828283,1.56,2.91021e+06
0.848485,1.56,2.96333e+06
0.868687,1.56,3.01761e+06
0.888889,1.56,3.07297e+06
0.909091,1.56,3.12934e+06
0.929293,1.56,3.28698e+06
0.949495,1.56,3.31132e+06
0.969697,1.56,3.33647e+06
0.989899,1.56,2.71276e+06
1.0101,1.56,2.71293e+06
1.0303,1.56,2.71368e+06
1.05051,1.56,2.86002e+06
1.07071,1.56,2.82109e+06
1.09091,1.56,2.78243e+06
1.11111,1.56,2.74404e+06
1.13131,1.56,2.70593e+06
1.15152,1.56,2.66813e+06
1.17172,1.56,2.63064e+06
1.19192,1.56,2.62048e+06
1.21212,1.56,2.59081e+06
1.23232,1.56,2.56384e+06
1.25253,1.56,2.53963e+06
1.27273,1.56,2.07573e+06
1.29293,1.56,2.02661e+06
1.31313,1.56,1.97873e+06
1.33333,1.56,1.93219e+06
1.35354,1.56,1.88707e+06
1.37374,1.56,1.84349e+06
1.39394,1.56,1.80154e+06
1.41414,1.56,1.76134e+06
1.43434,1.56,1.72302e+06
1.45455,1.56,1.68668e+06
1.47475,1.56,1.7168e+06
1.49495,1.56,1.70253e+06
1.51515,1.56,1.69287e+06
1.53535,1.56,1.68786e+06
1.55556,1.56,1.68752e+06
1.57576,1.56,911141
1.59596,1.56,916969
1.61616,1.56,923593
1.63636,1.56,917782
1.65657,1.56,826790
1.67677,1.56,756652
1.69697,1.56,706571
1.71717,1.56,675675
1.73737,1.56,663018
1.75758,1.56,667582
1.77778,1.56,688276
1.79798,1.56,723935
1.81818,1.56,773321
1.83838,1.56,835122
1.85859,1.56,907954
