Distance[um],dz[um],Mag_Ez
1.25253,1.58,586292
1.27273,1.58,590797
1.29293,1.58,894576
1.31313,1.58,888636
1.33333,1.58,890589
1.35354,1.58,898057
1.37374,1.58,908958
1.39394,1.58,921505
1.41414,1.58,934209
1.43434,1.58,1.11628e+06
1.45455,1.58,1.11082e+06
1.47475,1.58,1.10187e+06
1.49495,1.58,1.08938e+06
1.51515,1.58,1.07337e+06
1.53535,1.58,1.05386e+06
1.55556,1.58,1.03095e+06
1.57576,1.58,1.09237e+06
1.59596,1.58,1.08627e+06
1.61616,1.58,1.07892e+06
1.63636,1.58,1.07083e+06
1.65657,1.58,1.06485e+06
1.67677,1.58,1.0505e+06
1.69697,1.58,1.03493e+06
1.71717,1.58,1.01667e+06
1.73737,1.58,994493
1.75758,1.58,967486
1.77778,1.58,934992
1.79798,1.58,896630
1.81818,1.58,852296
1.83838,1.58,802159
1.85859,1.58,746664
1.87879,1.58,686529
1.89899,1.58,622748
1.91919,1.58,556588
1.93939,1.58,490464
1.9596,1.58,403438
1.9798,1.58,322599
2,1.58,250398
0,1.6,777055
0.020202,1.6,654499
0.040404,1.6,563454
0.0606061,1.6,505250
0.0808081,1.6,480367
0.10101,1.6,526563
0.121212,1.6,577892
0.141414,1.6,641440
0.161616,1.6,714108
0.181818,1.6,793210
0.20202,1.6,876470
0.222222,1.6,962026
0.242424,1.6,1.04843e+06
0.262626,1.6,1.13463e+06
0.282828,1.6,1.22002e+06
0.30303,1.6,1.30437e+06
0.323232,1.6,1.38788e+06
0.343434,1.6,1.43059e+06
0.363636,1.6,1.39843e+06
0.383838,1.6,1.36789e+06
0.40404,1.6,1.33893e+06
0.424242,1.6,1.31159e+06
0.444444,1.6,1.28602e+06
0.464646,1.6,1.26245e+06
0.484848,1.6,801947
0.505051,1.6,788530
0.525253,1.6,774211
0.545455,1.6,758783
0.565657,1.6,742071
0.585859,1.6,723934
0.606061,1.6,704261
0.626263,1.6,682974
0.646465,1.6,660029
