Distance[um],dz[um],Mag_Ez
0.848485,1.54,5.19001e+06
0.868687,1.54,5.27829e+06
0.888889,1.54,5.35513e+06
0.909091,1.54,5.42018e+06
0.929293,1.54,5.56579e+06
0.949495,1.54,5.64372e+06
0.969697,1.54,5.71419e+06
0.989899,1.54,5.24284e+06
1.0101,1.54,5.16873e+06
1.0303,1.54,5.0868e+06
1.05051,1.54,4.99555e+06
1.07071,1.54,5.33288e+06
1.09091,1.54,5.25777e+06
1.11111,1.54,5.17725e+06
1.13131,1.54,5.09162e+06
1.15152,1.54,5.00128e+06
1.17172,1.54,4.90663e+06
1.19192,1.54,4.81579e+06
1.21212,1.54,4.69944e+06
1.23232,1.54,4.58448e+06
1.25253,1.54,4.47302e+06
1.27273,1.54,4.66297e+06
1.29293,1.54,4.41429e+06
1.31313,1.54,4.17255e+06
1.33333,1.54,3.93601e+06
1.35354,1.54,3.70333e+06
1.37374,1.54,3.47362e+06
1.39394,1.54,3.24635e+06
1.41414,1.54,3.02145e+06
1.43434,1.54,2.79924e+06
1.45455,1.54,2.58046e+06
1.47475,1.54,2.36626e+06
1.49495,1.54,2.1582e+06
1.51515,1.54,2.56247e+06
1.53535,1.54,2.43775e+06
1.55556,1.54,2.31638e+06
1.57576,1.54,2.12463e+06
1.59596,1.54,2.01872e+06
1.61616,1.54,1.93018e+06
1.63636,1.54,1.76618e+06
1.65657,1.54,1.61441e+06
1.67677,1.54,1.47968e+06
1.69697,1.54,1.36612e+06
1.71717,1.54,1.27706e+06
1.73737,1.54,1.21512e+06
1.75758,1.54,1.18219e+06
1.77778,1.54,1.17939e+06
1.79798,1.54,1.20711e+06
1.81818,1.54,1.26501e+06
1.83838,1.54,1.352e+06
1.85859,1.54,1.46625e+06
1.87879,1.54,1.60519e+06
1.89899,1.54,1.7655e+06
1.91919,1.54,1.94314e+06
1.93939,1.54,2.1333e+06
1.9596,1.54,2.33047e+06
1.9798,1.54,3.38121e+06
2,1.54,3.59919e+06
0,1.56,2.6068e+06
0.020202,1.56,2.45788e+06
0.040404,1.56,2.29893e+06
0.0606061,1.56,2.2883e+06
0.0808081,1.56,2.08552e+06
0.10101,1.56,1.89243e+06
0.121212,1.56,1.71844e+06
0.141414,1.56,1.57153e+06
0.161616,1.56,1.45828e+06
0.181818,1.56,1.38386e+06
0.20202,1.56,1.35202e+06
0.222222,1.56,1.36512e+06
0.242424,1.56,1.4241e+06
0.262626,1.56,1.52851e+06
0.282828,1.56,1.67646e+06
0.30303,1.56,1.86468e+06
0.323232,1.56,2.08848e+06
0.343434,1.56,2.34177e+06
0.363636,1.56,2.38552e+06
0.383838,1.56,2.37202e+06
