Distance[um],dz[um],Mag_Ex
0.464646,1.52,454590
0.484848,1.52,459446
0.505051,1.52,465695
0.525253,1.52,473162
0.545455,1.52,661675
0.565657,1.52,695556
0.585859,1.52,730165
0.606061,1.52,765386
0.626263,1.52,801153
0.646465,1.52,837455
0.666667,1.52,874330
0.686869,1.52,911868
0.707071,1.52,1.2725e+06
0.727273,1.52,1.21308e+06
0.747475,1.52,1.15434e+06
0.767677,1.52,1.09639e+06
0.787879,1.52,1.03938e+06
0.808081,1.52,983518
0.828283,1.52,929019
0.848485,1.52,876152
0.868687,1.52,825222
0.888889,1.52,776570
0.909091,1.52,652230
0.929293,1.52,680412
0.949495,1.52,708838
0.969697,1.52,737351
0.989899,1.52,328339
1.0101,1.52,264224
1.0303,1.52,195313
1.05051,1.52,134989
1.07071,1.52,93669.7
1.09091,1.52,78802.5
1.11111,1.52,337207
1.13131,1.52,360703
1.15152,1.52,410429
1.17172,1.52,479609
1.19192,1.52,558160
1.21212,1.52,209923
1.23232,1.52,266434
1.25253,1.52,320817
1.27273,1.52,594602
1.29293,1.52,589820
1.31313,1.52,585704
1.33333,1.52,582266
1.35354,1.52,579511
1.37374,1.52,577446
1.39394,1.52,576074
1.41414,1.52,575398
1.43434,1.52,575417
1.45455,1.52,576131
1.47475,1.52,577534
1.49495,1.52,579624
1.51515,1.52,582391
1.53535,1.52,515372
1.55556,1.52,520210
1.57576,1.52,621004
1.59596,1.52,627190
1.61616,1.52,569988
1.63636,1.52,579526
1.65657,1.52,589070
1.67677,1.52,598621
1.69697,1.52,608177
1.71717,1.52,617738
1.73737,1.52,627304
1.75758,1.52,636873
1.77778,1.52,646446
1.79798,1.52,656021
1.81818,1.52,665599
1.83838,1.52,675179
1.85859,1.52,684760
1.87879,1.52,694343
1.89899,1.52,703926
1.91919,1.52,713511
1.93939,1.52,723097
1.9596,1.52,732683
1.9798,1.52,742270
2,1.52,764196
0,1.54,212392
0.020202,1.54,228251
0.040404,1.54,347611
0.0606061,1.54,350871
0.0808081,1.54,354761
0.10101,1.54,359181
0.121212,1.54,364042
0.141414,1.54,369273
0.161616,1.54,374817
0.181818,1.54,380630
0.20202,1.54,386687
0.222222,1.54,392975
0.242424,1.54,399496
0.262626,1.54,406267
0.282828,1.54,413323
0.30303,1.54,420709
0.323232,1.54,428488
0.343434,1.54,436738
0.363636,1.54,373443
0.383838,1.54,359943
0.40404,1.54,350748
0.424242,1.54,345804
0.444444,1.54,512138
0.464646,1.54,516747
0.484848,1.54,522624
0.505051,1.54,529597
0.525253,1.54,537522
0.545455,1.54,546273
0.565657,1.54,555752
0.585859,1.54,565882
0.606061,1.54,806744
0.626263,1.54,841339
0.646465,1.54,876467
0.666667,1.54,912183
0.686869,1.54,948593
0.707071,1.54,1.31759e+06
0.727273,1.54,1.25741e+06
0.747475,1.54,1.19784e+06
0.767677,1.54,1.13895e+06
0.787879,1.54,1.08087e+06
0.808081,1.54,1.02374e+06
0.828283,1.54,967772
0.848485,1.54,913183
0.868687,1.54,860247
0.888889,1.54,809268
0.909091,1.54,760590
0.929293,1.54,668216
0.949495,1.54,699098
0.969697,1.54,730095
0.989899,1.54,299649
1.0101,1.54,236432
1.0303,1.54,174027
1.05051,1.54,125178
1.07071,1.54,364098
1.09091,1.54,346496
1.11111,1.54,358103
1.13131,1.54,397097
1.15152,1.54,458349
1.17172,1.54,533420
1.19192,1.54,197153
1.21212,1.54,257897
1.23232,1.54,318368
1.25253,1.54,377985
1.27273,1.54,642645
1.29293,1.54,637225
1.31313,1.54,632425
1.33333,1.54,628259
1.35354,1.54,624735
1.37374,1.54,621864
1.39394,1.54,619652
1.41414,1.54,618103
1.43434,1.54,617221
1.45455,1.54,617008
1.47475,1.54,617463
1.49495,1.54,618584
1.51515,1.54,548743
1.53535,1.54,550299
1.55556,1.54,552751
1.57576,1.54,632114
1.59596,1.54,637121
1.61616,1.54,589260
1.63636,1.54,600623
1.65657,1.54,611988
1.67677,1.54,623353
1.69697,1.54,634720
1.71717,1.54,646086
1.73737,1.54,657451
1.75758,1.54,668816
1.77778,1.54,680179
1.79798,1.54,691539
1.81818,1.54,702898
1.83838,1.54,714253
1.85859,1.54,725606
1.87879,1.54,736956
1.89899,1.54,748302
1.91919,1.54,759645
1.93939,1.54,770984
1.9596,1.54,782320
1.9798,1.54,790851
2,1.54,770280
0,1.56,280954
0.020202,1.56,298980
0.040404,1.56,319618
0.0606061,1.56,438347
0.0808081,1.56,438634
0.10101,1.56,439459
0.121212,1.56,440743
0.141414,1.56,442422
0.161616,1.56,444449
0.181818,1.56,446788
0.20202,1.56,449422
0.222222,1.56,452345
0.242424,1.56,455569
0.262626,1.56,459120
0.282828,1.56,463038
0.30303,1.56,467381
0.323232,1.56,472217
0.343434,1.56,477634
0.363636,1.56,396772
0.383838,1.56,386884
0.40404,1.56,381009
0.424242,1.56,379101
0.444444,1.56,381083
0.464646,1.56,567781
0.484848,1.56,574689
0.505051,1.56,582425
0.525253,1.56,590872
0.545455,1.56,599938
0.565657,1.56,609553
0.585859,1.56,619671
0.606061,1.56,630269
0.626263,1.56,641350
0.646465,1.56,652936
0.666667,1.56,947031
0.686869,1.56,982289
0.707071,1.56,1.36032e+06
0.727273,1.56,1.2992e+06
0.747475,1.56,1.23868e+06
0.767677,1.56,1.1788e+06
0.787879,1.56,1.11965e+06
0.808081,1.56,1.06135e+06
0.828283,1.56,1.00405e+06
0.848485,1.56,947953
0.868687,1.56,893287
0.888889,1.56,840324
0.909091,1.56,789372
0.929293,1.56,653982
0.949495,1.56,686845
0.969697,1.56,719856
0.989899,1.56,277510
1.0101,1.56,220653
1.0303,1.56,170149
1.05051,1.56,385250
1.07071,1.56,356174
1.09091,1.56,355343
1.11111,1.56,382580
1.13131,1.56,434400
1.15152,1.56,504012
1.17172,1.56,581315
1.19192,1.56,264698
1.21212,1.56,324872
1.23232,1.56,385641
1.25253,1.56,446500
1.27273,1.56,687951
