Distance[um],dz[um],Mag_E[V_per_meter]
0.949495,1.52,2.91428e+06
0.969697,1.52,2.94264e+06
0.989899,1.52,2.96492e+06
1.0101,1.52,2.88353e+06
1.0303,1.52,2.81137e+06
1.05051,1.52,2.74779e+06
1.07071,1.52,2.69222e+06
1.09091,1.52,2.6442e+06
1.11111,1.52,2.59987e+06
1.13131,1.52,2.56156e+06
1.15152,1.52,2.53934e+06
1.17172,1.52,2.53315e+06
1.19192,1.52,2.54284e+06
1.21212,1.52,2.54009e+06
1.23232,1.52,2.54189e+06
1.25253,1.52,2.55891e+06
1.27273,1.52,2.5116e+06
1.29293,1.52,2.42694e+06
1.31313,1.52,2.34325e+06
1.33333,1.52,2.26054e+06
1.35354,1.52,2.1789e+06
1.37374,1.52,2.09848e+06
1.39394,1.52,2.0195e+06
1.41414,1.52,1.94223e+06
1.43434,1.52,1.86703e+06
1.45455,1.52,1.79431e+06
1.47475,1.52,1.72455e+06
1.49495,1.52,1.65831e+06
1.51515,1.52,1.59619e+06
1.53535,1.52,1.53244e+06
1.55556,1.52,1.4258e+06
1.57576,1.52,1.32042e+06
1.59596,1.52,1.23757e+06
1.61616,1.52,1.15156e+06
1.63636,1.52,1.07245e+06
1.65657,1.52,1.00048e+06
1.67677,1.52,935338
1.69697,1.52,876746
1.71717,1.52,824396
1.73737,1.52,777979
1.75758,1.52,737179
1.77778,1.52,701675
1.79798,1.52,671137
1.81818,1.52,645229
1.83838,1.52,623610
1.85859,1.52,605931
1.87879,1.52,591837
1.89899,1.52,580964
1.91919,1.52,572945
1.93939,1.52,567403
1.9596,1.52,563957
1.9798,1.52,562218
2,1.52,569611
0,1.54,454121
0.020202,1.54,476435
0.040404,1.54,500253
0.0606061,1.54,525666
0.0808081,1.54,551727
0.10101,1.54,579166
0.121212,1.54,608670
0.141414,1.54,640883
0.161616,1.54,676404
0.181818,1.54,715791
0.20202,1.54,759556
0.222222,1.54,808170
0.242424,1.54,862059
0.262626,1.54,921605
0.282828,1.54,987149
0.30303,1.54,1.05899e+06
0.323232,1.54,1.13737e+06
0.343434,1.54,1.22251e+06
0.363636,1.54,1.30465e+06
0.383838,1.54,1.36717e+06
0.40404,1.54,1.43039e+06
0.424242,1.54,1.4934e+06
0.444444,1.54,1.55852e+06
0.464646,1.54,1.63288e+06
0.484848,1.54,1.71566e+06
0.505051,1.54,1.8062e+06
0.525253,1.54,1.9039e+06
0.545455,1.54,2.00818e+06
0.565657,1.54,2.11845e+06
0.585859,1.54,2.23421e+06
0.606061,1.54,2.31013e+06
0.626263,1.54,2.37381e+06
0.646465,1.54,2.43775e+06
0.666667,1.54,2.50201e+06
0.686869,1.54,2.56677e+06
0.707071,1.54,2.63707e+06
0.727273,1.54,2.7047e+06
0.747475,1.54,2.76026e+06
0.767677,1.54,2.80363e+06
0.787879,1.54,2.83474e+06
0.808081,1.54,2.85354e+06
0.828283,1.54,2.86005e+06
0.848485,1.54,2.85432e+06
0.868687,1.54,2.83645e+06
0.888889,1.54,2.80657e+06
0.909091,1.54,2.76488e+06
0.929293,1.54,2.77973e+06
0.949495,1.54,2.80397e+06
0.969697,1.54,2.82906e+06
0.989899,1.54,2.80725e+06
1.0101,1.54,2.73785e+06
1.0303,1.54,2.67698e+06
1.05051,1.54,2.62404e+06
1.07071,1.54,2.57683e+06
1.09091,1.54,2.51889e+06
1.11111,1.54,2.47718e+06
1.13131,1.54,2.45163e+06
1.15152,1.54,2.44209e+06
1.17172,1.54,2.44835e+06
1.19192,1.54,2.46013e+06
1.21212,1.54,2.4571e+06
1.23232,1.54,2.4688e+06
1.25253,1.54,2.49454e+06
1.27273,1.54,2.48503e+06
1.29293,1.54,2.40878e+06
1.31313,1.54,2.33365e+06
1.33333,1.54,2.25963e+06
1.35354,1.54,2.18682e+06
1.37374,1.54,2.11538e+06
1.39394,1.54,2.04551e+06
1.41414,1.54,1.97749e+06
1.43434,1.54,1.91169e+06
1.45455,1.54,1.84852e+06
1.47475,1.54,1.78845e+06
1.49495,1.54,1.73205e+06
1.51515,1.54,1.64816e+06
1.53535,1.54,1.55519e+06
1.55556,1.54,1.45997e+06
1.57576,1.54,1.36809e+06
1.59596,1.54,1.28852e+06
1.61616,1.54,1.20712e+06
1.63636,1.54,1.12483e+06
1.65657,1.54,1.04955e+06
1.67677,1.54,981035
1.69697,1.54,919002
1.71717,1.54,863172
1.73737,1.54,813260
1.75758,1.54,768970
1.77778,1.54,730002
1.79798,1.54,696050
1.81818,1.54,666800
1.83838,1.54,641931
1.85859,1.54,621117
1.87879,1.54,604024
1.89899,1.54,590312
1.91919,1.54,579633
1.93939,1.54,571635
1.9596,1.54,565958
1.9798,1.54,566798
2,1.54,572231
0,1.56,513070
0.020202,1.56,533285
0.040404,1.56,555030
0.0606061,1.56,578355
0.0808081,1.56,600957
0.10101,1.56,625259
0.121212,1.56,651883
0.141414,1.56,681404
0.161616,1.56,714356
0.181818,1.56,751227
0.20202,1.56,792465
0.222222,1.56,838471
0.242424,1.56,889605
0.262626,1.56,946183
0.282828,1.56,1.00848e+06
0.30303,1.56,1.07672e+06
0.323232,1.56,1.15109e+06
0.343434,1.56,1.23173e+06
0.363636,1.56,1.29186e+06
0.383838,1.56,1.34759e+06
0.40404,1.56,1.40278e+06
0.424242,1.56,1.45667e+06
0.444444,1.56,1.50861e+06
0.464646,1.56,1.5676e+06
0.484848,1.56,1.63517e+06
0.505051,1.56,1.71018e+06
0.525253,1.56,1.79216e+06
0.545455,1.56,1.88065e+06
0.565657,1.56,1.97523e+06
0.585859,1.56,2.0755e+06
0.606061,1.56,2.18109e+06
0.626263,1.56,2.29166e+06
0.646465,1.56,2.40689e+06
0.666667,1.56,2.48706e+06
0.686869,1.56,2.54689e+06
0.707071,1.56,2.61516e+06
0.727273,1.56,2.6767e+06
0.747475,1.56,2.72623e+06
0.767677,1.56,2.7636e+06
0.787879,1.56,2.78871e+06
0.808081,1.56,2.80148e+06
0.828283,1.56,2.8019e+06
0.848485,1.56,2.78999e+06
0.868687,1.56,2.76582e+06
0.888889,1.56,2.72949e+06
0.909091,1.56,2.68116e+06
0.929293,1.56,2.6443e+06
0.949495,1.56,2.66432e+06
0.969697,1.56,2.68579e+06
0.989899,1.56,2.6311e+06
1.0101,1.56,2.57373e+06
1.0303,1.56,2.52422e+06
1.05051,1.56,2.45377e+06
1.07071,1.56,2.39231e+06
1.09091,1.56,2.34732e+06
1.11111,1.56,2.31863e+06
1.13131,1.56,2.30603e+06
1.15152,1.56,2.30922e+06
1.17172,1.56,2.32783e+06
1.19192,1.56,2.33062e+06
1.21212,1.56,2.33923e+06
1.23232,1.56,2.36149e+06
1.25253,1.56,2.39694e+06
1.27273,1.56,2.42666e+06
1.29293,1.56,2.35808e+06
1.31313,1.56,2.29081e+06
1.33333,1.56,2.22487e+06
1.35354,1.56,2.16034e+06
1.37374,1.56,2.09738e+06
1.39394,1.56,2.03621e+06
1.41414,1.56,1.97711e+06
1.43434,1.56,1.92043e+06
1.45455,1.56,1.86659e+06
1.47475,1.56,1.80384e+06
1.49495,1.56,1.72765e+06
1.51515,1.56,1.64902e+06
1.53535,1.56,1.56799e+06
1.55556,1.56,1.48471e+06
1.57576,1.56,1.40466e+06
1.59596,1.56,1.32926e+06
1.61616,1.56,1.25236e+06
1.63636,1.56,1.17232e+06
1.65657,1.56,1.09417e+06
1.67677,1.56,1.02273e+06
1.69697,1.56,957724
1.71717,1.56,898909
1.73737,1.56,846015
1.75758,1.56,798771
1.77778,1.56,756899
1.79798,1.56,720113
1.81818,1.56,688122
1.83838,1.56,660627
1.85859,1.56,637324
1.87879,1.56,617900
1.89899,1.56,602037
1.91919,1.56,589411
1.93939,1.56,579690
1.9596,1.56,575099
1.9798,1.56,575627
2,1.56,579037
0,1.58,566231
0.020202,1.58,584137
0.040404,1.58,603661
0.0606061,1.58,624941
0.0808081,1.58,647834
0.10101,1.58,668447
0.121212,1.58,691680
0.141414,1.58,718044
0.161616,1.58,748004
0.181818,1.58,781982
0.20202,1.58,820358
0.222222,1.58,863467
0.242424,1.58,911602
0.262626,1.58,965010
0.282828,1.58,1.0239e+06
0.30303,1.58,1.08843e+06
0.323232,1.58,1.15872e+06
