Distance[um],dz[um],Mag_Ey_um,Mag_Ey_um
0.606061,1.5,0.876257,0.689102
0.626263,1.5,0.810752,0.7767
0.646465,1.5,0.745661,0.877502
0.666667,1.5,0.681751,0.982465
0.686869,1.5,0.619912,1.08052
0.707071,1.5,0.561166,1.15857
0.727273,1.5,0.500458,1.15064
0.747475,1.5,0.481873,1.22505
0.767677,1.5,0.506465,1.30656
0.787879,1.5,0.564703,1.39276
0.808081,1.5,0.648313,1.48183
0.828283,1.5,0.750275,1.57259
0.848485,1.5,0.864829,1.66444
0.868687,1.5,0.987467,1.7574
0.888889,1.5,0.858564,1.62512
0.909091,1.5,0.899951,1.60375
0.929293,1.5,0.200641,0.519824
0.949495,1.5,0.109265,0.376598
0.969697,1.5,0.0869563,0.378948
0.989899,1.5,0.120072,0.482626
1.0101,1.5,0.193456,0.650217
1.0303,1.5,0.290439,0.851144
1.05051,1.5,0.392835,1.06166
1.07071,1.5,0.715637,1.63585
1.09091,1.5,0.759567,1.77197
1.11111,1.5,0.806703,1.90338
1.13131,1.5,0.685957,1.78629
1.15152,1.5,0.659713,1.80361
1.17172,1.5,0.649864,1.80888
1.19192,1.5,0.584084,1.80887
1.21212,1.5,0.557413,1.7482
1.23232,1.5,0.557431,1.68243
1.25253,1.5,0.561357,1.60745
1.27273,1.5,0.636053,1.5497
1.29293,1.5,0.713398,1.4779
1.31313,1.5,0.790846,1.39795
1.33333,1.5,0.866192,1.31535
1.35354,1.5,0.937575,1.23511
1.37374,1.5,1.00348,1.16181
1.39394,1.5,1.06973,0.966682
1.41414,1.5,1.16495,0.933755
1.43434,1.5,1.25495,0.915655
1.45455,1.5,1.33905,0.914257
1.47475,1.5,1.41733,0.931292
1.49495,1.5,1.49057,0.968349
1.51515,1.5,1.56029,1.02687
1.53535,1.5,1.62871,1.10817
1.55556,1.5,1.7017,1.3061
1.57576,1.5,1.73386,1.42946
1.59596,1.5,1.76417,1.5585
1.61616,1.5,1.79337,1.69017
1.63636,1.5,1.61926,1.47216
1.65657,1.5,1.59575,1.48533
1.67677,1.5,1.56907,1.49425
1.69697,1.5,1.53702,1.4975
1.71717,1.5,1.49816,1.49395
1.73737,1.5,1.45185,1.48282
1.75758,1.5,1.39826,1.46363
1.77778,1.5,1.3383,1.43621
1.79798,1.5,1.27372,1.40075
1.81818,1.5,1.20703,1.35771
1.83838,1.5,0.842996,0.765931
1.85859,1.5,0.757803,0.696272
1.87879,1.5,0.667003,0.619172
