Distance[um],dz[um],Mag_Ez_um,Mag_Ez_um_1
0.141414,1.5,2.01261,0.54942
0.161616,1.5,2.05988,0.594412
0.181818,1.5,2.10272,0.641837
0.20202,1.5,2.14055,0.689912
0.222222,1.5,2.17287,0.737161
0.242424,1.5,2.19929,0.782418
0.262626,1.5,2.2195,0.824823
0.282828,1.5,2.2333,0.863825
0.30303,1.5,2.24058,0.899179
0.323232,1.5,2.24133,0.930951
0.343434,1.5,2.23561,0.959512
0.363636,1.5,2.22361,0.985541
0.383838,1.5,2.20558,1.01003
0.40404,1.5,2.1819,1.03426
0.424242,1.5,1.68159,1.05765
0.444444,1.5,1.58275,1.01962
0.464646,1.5,1.49357,0.985116
0.484848,1.5,1.41218,0.953252
0.505051,1.5,1.33685,0.923216
0.525253,1.5,1.26595,0.894262
0.545455,1.5,1.19796,0.865709
0.565657,1.5,1.08042,0.752904
0.585859,1.5,1.04139,0.706548
0.606061,1.5,1.00354,0.664762
0.626263,1.5,0.966626,0.627141
0.646465,1.5,0.930372,0.593307
0.666667,1.5,0.894507,0.562906
0.686869,1.5,0.858748,0.535613
0.707071,1.5,0.822806,0.511128
0.727273,1.5,0.543391,0.259713
0.747475,1.5,0.44975,0.319451
0.767677,1.5,0.407002,0.356082
0.787879,1.5,0.389109,0.386473
0.808081,1.5,0.378956,0.422619
0.828283,1.5,0.368347,0.471639
0.848485,1.5,0.358008,0.53578
0.868687,1.5,0.357586,0.612414
0.888889,1.5,0.449397,0.673823
0.909091,1.5,0.574824,0.732873
0.929293,1.5,0.0857602,0.113797
0.949495,1.5,0.0787279,0.107792
0.969697,1.5,0.0673756,0.166838
0.989899,1.5,0.0571053,0.266289
1.0101,1.5,0.0534836,0.387324
1.0303,1.5,0.0622415,0.516943
1.05051,1.5,0.0892748,0.647969
1.07071,1.5,0.0602685,0.45259
1.09091,1.5,0.0805929,0.485341
1.11111,1.5,0.101874,0.554573
1.13131,1.5,0.168543,0.495972
1.15152,1.5,0.222797,0.439003
1.17172,1.5,0.267086,0.401381
1.19192,1.5,0.255872,0.297805
1.21212,1.5,0.303322,0.284982
1.23232,1.5,0.356294,0.312142
1.25253,1.5,0.746167,0.572702
1.27273,1.5,0.779459,0.55887
1.29293,1.5,0.813413,0.554234
1.31313,1.5,0.847523,0.555829
1.33333,1.5,0.880757,0.560964
1.35354,1.5,0.91155,0.567227
1.37374,1.5,0.937807,0.572478
1.39394,1.5,0.595402,0.581131
1.41414,1.5,0.641198,0.597758
1.43434,1.5,0.690573,0.613452
1.45455,1.5,0.744118,0.628266
1.47475,1.5,0.80237,0.642225
1.49495,1.5,0.86581,0.655331
1.51515,1.5,0.934863,0.667563
1.53535,1.5,1.0099,0.678874
1.55556,1.5,1.25981,0.973705
1.57576,1.5,1.28175,0.937989
1.59596,1.5,1.3005,0.896258
1.61616,1.5,1.31751,0.849078
1.63636,1.5,1.44513,0.273156
1.65657,1.5,1.42544,0.246506
1.67677,1.5,1.40399,0.224966
1.69697,1.5,1.38092,0.207616
1.71717,1.5,1.35649,0.193589
1.73737,1.5,1.33105,0.182068
1.75758,1.5,1.30508,0.172291
1.77778,1.5,1.27912,0.163546
1.79798,1.5,1.25384,0.155173
1.81818,1.5,1.23001,0.146564
1.83838,1.5,0.816791,0.419811
1.85859,1.5,0.603592,0.443178
1.87879,1.5,0.428218,0.467969
1.89899,1.5,0.29462,0.49421
1.91919,1.5,0.206807,0.52187
1.93939,1.5,0.168849,0.550861
1.9596,1.5,0.184877,0.58104
1.9798,1.5,0.259081,0.612207
2,1.5,0.395712,0.644107
0,1.52,1.68886,0.603773
0.020202,1.52,1.81425,0.565074
0.040404,1.52,1.9506,0.578467
0.0606061,1.52,2.07298,0.688761
0.0808081,1.52,2.15845,0.743858
0.10101,1.52,2.24271,0.801493
0.121212,1.52,2.13182,0.491237
0.141414,1.52,2.17842,0.543947
0.161616,1.52,2.22063,0.599081
0.181818,1.52,2.25782,0.654776
0.20202,1.52,2.28942,0.709479
0.222222,1.52,2.315,0.761944
0.242424,1.52,2.3342,0.811232
0.262626,1.52,2.34675,0.856714
0.282828,1.52,2.35248,0.898066
0.30303,1.52,2.35133,0.935275
0.323232,1.52,2.34332,0.968632
0.343434,1.52,2.32856,0.998739
0.363636,1.52,2.30726,1.0265
0.383838,1.52,2.27974,1.05315
0.40404,1.52,2.2464,1.08018
0.424242,1.52,1.67647,1.06813
0.444444,1.52,1.58978,1.03304
0.464646,1.52,1.51206,1.0011
0.484848,1.52,1.44153,0.971467
0.505051,1.52,1.37653,0.943359
0.525253,1.52,1.31554,0.916071
0.545455,1.52,1.2571,0.888964
0.565657,1.52,1.19992,0.861464
0.585859,1.52,1.08433,0.748883
0.606061,1.52,1.05127,0.700713
0.626263,1.52,1.01866,0.657145
0.646465,1.52,0.986205,0.61774
0.666667,1.52,0.953605,0.582085
0.686869,1.52,0.920555,0.549791
0.707071,1.52,0.886742,0.520498
0.727273,1.52,0.559912,0.180565
0.747475,1.52,0.460803,0.245536
0.767677,1.52,0.411784,0.282882
0.787879,1.52,0.385726,0.311212
0.808081,1.52,0.364422,0.344265
0.828283,1.52,0.338587,0.390903
0.848485,1.52,0.322153,0.460984
0.868687,1.52,0.315282,0.545101
0.888889,1.52,0.341882,0.585305
0.909091,1.52,0.446993,0.655477
0.929293,1.52,0.522453,0.713718
0.949495,1.52,0.114027,0.108065
0.969697,1.52,0.107717,0.107091
0.989899,1.52,0.0922975,0.167049
1.0101,1.52,0.0751323,0.266549
1.0303,1.52,0.063752,0.390024
1.05051,1.52,0.065851,0.52773
1.07071,1.52,0.162629,0.314203
1.09091,1.52,0.181615,0.342245
1.11111,1.52,0.197706,0.386474
1.13131,1.52,0.256216,0.375624
1.15152,1.52,0.319807,0.338444
1.17172,1.52,0.370902,0.315679
